상품명,스펙목록,가격
짐머만 ZMC-1991,핸디스틱청소기 / 무선형 / 흡입전용 / [구성] 바닥 / 솔형 / 틈새 / 거치대 / [배터리] 충전시간: 5시간 / 사용시간: 20분 / 헤파필터 / [기능] 셀프스탠딩 / LED라이트 / [부가] 색상: 블루 / 크기(가로x세로x깊이): 270x1005x260mm,89000
LG전자 오브제컬렉션 코드제로 A9S AO9571WKT + AS062PWHAR,핸디스틱청소기+공기청정기세트 / 무선형 / 흡입+물걸레겸용 / 흡입력: 210W / [구성] 바닥 / 물걸레 / 침구 / 솔형 / 틈새 / 올인원타워 / [배터리] 분리형 (2개) / 충전시간: 4시간 / 사용시간: 1시간 / [성능] 스마트인버터모터 / 분리형배기필터 / 헤파필터 / 5단계여과 / [기능] IoT기능 / 자동물공급 / 배터리잔량표시 / 자동먼지비움 / [부가] 색상: 카밍베이지 / 무게: 2.6kg / 크기(가로x세로x깊이): 250x1120x260mm / [AS062PWHAR] 크기(가로x세로): 410x410mm  / ※ 상품 옵션 확인 후 구매,1278900
지웰 벤투스 아쿠아 멀티플,물걸레청소기 / 롤러식 / 물걸레+진공 / 무선형 / [배터리] 리튬이온 / 충전시간: 4시간 / 사용시간: 28분 / [기능] 물분사 / 셀프스탠딩 / 풋터치버튼 / 거치대 / 헤파필터 / 3단계여과 / [부가] 무게: 3.3kg / 크기(가로x세로x깊이): 240x1160x240mm,274050
아우라 몬스터 무선 진공 청소기 AURA-V5300,"차량용청소기 / 무선 / 흡입력: 5,300Pa / 최대출력: 50W / 헤파필터 / 추가노즐: 틈새, 솔브러쉬 / 싸이클론 / 사용시간: 20분 / 배터리용량: 2,000mAh / 충전시간: 3시간 / 충전방식: USB C타입 / 크기: 255x75x170mm / 무게: 365g",58960
베스코 몬탑 MTC-A230L,"물걸레청소기 / 회전식 / 물걸레전용 / 무선형 / [배터리] 리튬이온 / 충전시간: 3시간 / 사용시간: 30분 / [기능] LED라이트 / 각도조절 / 셀프스탠딩 / 배터리잔량표시 / [부가] 색상: 레드, 화이트 / 무게: 3.5kg / 패드: 극세사(벨크로형) / 크기(가로x세로x깊이): 410x1230x215mm",103200
아이엠듀 더스트 닥터 차량용 청소기 V6,"차량용청소기 / 무선 / 흡입력: 13,000Pa / 최대출력: 135W / 헤파필터 / 추가노즐: 틈새, 솔브러쉬 / 무게: 410g / 크기: 252x55x55mm",52120
애니스 JB2000,"물걸레청소기 / 회전식 / 물걸레전용 / 무선형 / [배터리] 리튬이온 / 충전시간: 3시간 / 사용시간: 30분 / [기능] 각도조절 / [부가] 색상: 블랙, 화이트 / 무게: 3.14kg / 크기(가로x세로x깊이): 411x1105x192mm",120060
보아르 포스W,물걸레청소기 / 롤러식 / 물걸레+진공 / 무선형 / [배터리] 사용시간: 35분 / [기능] 흡입력: 5500Pa / 물분사 / 셀프스탠딩 / 배터리잔량표시 / 거치대 / 걸레자동세척 / 헤파필터 / 2단계여과 / [부가] 물통용량: 0.68L / 색상: 브라운 / 무게: 4.3kg / 디스플레이 / 브러쉬자동세척 / UV살균 / 음성안내 / 크기(가로x세로x깊이): 290x1150x250mm,258000
삼성전자 비스포크 제트 VS20A957D2P,핸디스틱청소기 / 무선형 / 흡입+물걸레겸용 / 흡입력: 210W / [구성] 바닥 / 물걸레 / 솔형 / 틈새 / 일체형청정스테이션 / [배터리] 분리형 (2개) / 충전시간: 3시간30분 / 사용시간: 1시간 / [성능] 디지털인버터모터 / 5단계여과 / [기능] 디스플레이표시창 / 자동물공급 / 배터리잔량표시 / 자동먼지비움 / [부가] 먼지통용량: 0.5L / 색상: 우디그린 / 무게: 2.5kg / 크기(가로x세로x깊이): 250x930x202mm,889130
혼스 차량 무선 진공 청소기 HSCC-8000,"차량용청소기 / 무선 / 흡입력: 8,000Pa / 최대출력: 150W / 헤파필터 / 추가노즐: 틈새, 솔브러쉬 / 색상 : 핑크, 브라운, 그레이, 화이트 / 크기: 191x111x65mm / 무게: 650g",34900
쿠쿠전자 인스퓨어 파워클론 CVC-AME1420UG,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 140AW / 흡입력: 23000Pa / [구성] 바닥 / 물걸레 / 침구 / 틈새 / 연장툴 / 거치대 / [배터리] 분리형 (1개) / 사용시간: 35분 / [성능] BLDC모터 / 헤파필터 / 5단계여과 / [기능] 먼지감지센서 / LED라이트 / 배터리잔량표시 / [부가] 색상: 어반그레이 / 무게: 3.1kg / 크기(가로x세로x깊이): 260x1168x240mm,350000
삼성전자 제트 VS20R9078S2,핸디스틱청소기 / 무선형 / 물걸레 / 흡입력: 200W / [구성] 바닥 / 물걸레 / 침구 / 솔형 / 틈새 / 연장툴 / 거치대 / [배터리] 분리형 (2개) / 충전시간: 3시간30분 / 사용시간: 1시간 / [성능] 인버터모터 / 헤파필터 / 5단계여과 / [기능] 디스플레이표시창 / 프리볼트 / [부가] 먼지통용량: 0.5L / 색상: 티탄+블루 / 무게: 2.7kg / 크기(가로x세로x깊이): 250x1136x215mm,577990
삼성전자 비스포크 제트 VS20A956A3 + 물걸레,핸디스틱청소기 / 무선형 / 흡입+물걸레겸용 / 흡입력: 210W / [구성] 바닥 / 물걸레 / 솔형 / 틈새 / 연장툴 / 일체형청정스테이션 / [배터리] 분리형 (1개) / 충전시간: 3시간30분 / 사용시간: 1시간 / [성능] 디지털인버터모터 / 5단계여과 / [기능] 디스플레이표시창 / 자동물공급 / 배터리잔량표시 / 자동먼지비움 / [부가] 먼지통용량: 0.5L / 물통용량: 0.15L / 색상: 미드나잇블루 / 무게: 2.5kg / 크기(가로x세로x깊이): 250x930x202mm,733080
한일 THE 클린 HC-720BP,핸디스틱청소기 / 무선형 / 흡입전용 / [구성] 바닥 / 솔형 / [배터리] 내장형 / 충전시간: 5시간 / 사용시간: 35분 / 2단계여과 / [기능] LED라이트 / 배터리잔량표시 / 크기(가로x세로x깊이): 299x692x161mm,129050
한샘 스톰건 스마트 T1,"핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 20000Pa / [구성] 바닥 / 침구 / 솔형 / 틈새 / 연장툴 / 거치대 / [배터리] 분리형 (1개) / 충전시간: 4~5시간 / 사용시간: 35분 / [성능] BLDC모터 / 3단계여과 / LED라이트 / [부가] 먼지통용량: 0.6L / 색상: 화이트레드, 화이트골드 / 무게: 2.5kg / 크기(가로x세로x깊이): 260x1040x220mm",145200
다이슨 V11 컴플리트,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 185AW / [구성] 하이토크 / 소프트롤러 / 미니모터 / 솔형 / 더스팅 / 스터번더트 / 틈새 / 매트리스 / 거치대 / 도킹스테이션 / [배터리] 분리형 (1개) / 충전시간: 4시간30분 / 사용시간: 1시간 / [성능] 헤파필터 / [기능] 디스플레이표시창 / [부가] 먼지통용량: 0.54L / 색상: 니켈블루 / 무게: 2.95kg / 크기(가로x세로x깊이): 250x1280x261mm,989250
샤오미 TROUVER POWER 11,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 20000Pa / [구성] 바닥 / 카펫 / 솔형 / 틈새 / 거치대 / [배터리] 분리형 (1개) / 충전시간: 4시간 / 사용시간: 1시간 / [성능] 헤파필터 / 5단계여과 / [기능] 디스플레이표시창 / 배터리잔량표시 / [부가] 먼지통용량: 0.4L / 색상: 화이트+오렌지 / 무게: 1.45kg / 크기(가로x세로): 227x1227mm,251550
동양 메이드조이 차량용 청소기 MV-W100,"차량용청소기 / 무선 / 흡입력: 4,700Pa / 최대출력: 45W / 추가노즐: 틈새, 솔브러쉬 / LED라이트 / 사용시간: 20분 / 크기: 150x147x55mm / 무게: 400g",30630
블랙앤데커 PD1810LR,핸디청소기 / 무선형 / 흡입전용 / 흡입력: 25AW / [구성] 솔형 / 틈새 / [배터리] 충전시간: 4시간 / 사용시간: 13분29초 / [성능] 2단계여과 / [부가] 먼지통용량: 0.56L / 색상: 레드 / 무게: 1.47kg / 크기(가로x세로): 190x215mm,88320
셀렉프로 차량용 핸디형 청소기 ATM-VCC-1,"차량용청소기 / 무선 / 흡입력: 5,200Pa / 최대출력: 80W / 2중필터 / 헤파필터 / 스테인리스 필터 / 추가노즐: 틈새, 솔브러쉬 / 사용시간: 23분 / 충전시간: 3시간 / 색상: 레드, 블랙 / 크기: 69.5mmx57.5mmx286mm / 무게: 485g",99190
스위스밀리터리 아쿠아스핀 SMA-AP22,물걸레청소기 / 회전식 / 물걸레전용 / 무선형 / [배터리] 충전시간: 5시간 / 사용시간: 22분 / [기능] 물분사 / LED라이트 / 각도조절 / 셀프스탠딩 / [부가] 물통용량: 0.25L / 색상: 화이트 / 무게: 3kg / 패드: 극세사(벨크로형) / 크기(가로x세로x깊이): 380x1200x226mm,108500
일렉트로룩스 퓨어 F9 PF91-5EBF,스틱청소기 / 무선형 / 흡입전용 / [구성] 바닥 / 침구 / 더스팅 / 3in1 / 업탑어댑터 / 거치대 / [배터리] 내장형 / 충전시간: 6시간 / 사용시간: 55분 / [성능] 5단계여과 / [기능] 먼지감지센서 / 셀프스탠딩 / LED라이트 / 배터리잔량표시 / [부가] 먼지통용량: 0.7L / 색상: 인디고블루 / 무게: 4.1kg / 플렉스리프트 / 크기(가로x세로x깊이): 215x1200x249mm,279650
테팔 에어포스360라이트 아쿠아 TY-5588KS,핸디스틱청소기 / 무선형 / 흡입+물걸레겸용 / [구성] 바닥 / 물걸레 / 솔형 / 틈새 / [배터리] 분리형 (1개) / 사용시간: 30분 / [성능] BLDC모터 / 6단계여과 / [기능] 자동물공급 / LED라이트 / [부가] 먼지통용량: 0.5L / 물통용량: 0.19L / 무게: 2.6kg / 크기(가로x세로x깊이): 335x875x243mm,549000
에버튼하우스 EHHL-CL425E,물걸레청소기 / 회전식 / 물걸레전용 / 무선형 / [배터리] 리튬이온 / 사용시간: 1시간30분,19890
웨이코스 씽크웨이 ThinkAir TA-UV22,침구청소기 / 핸디형 / 무선형 / 사용시간: 17분 / [기능] 청소모드: UV살균 / 흡입력: 8000Pa / 세미헤파필터 / [부가] 먼지통용량: 0.3L / 무게: 1.2kg / 크기(가로x세로x깊이): 275x105x220mm,87220
지웰 벤투스 아쿠아 맥스,물걸레청소기 / 롤러식 / 물걸레+진공 / 무선형 / [배터리] 리튬이온 / 충전시간: 3시간 / 사용시간: 30분 / [기능] 물분사 / 걸레자동세척 / [부가] 물통용량: 0.5L / 무게: 3kg,343990
일렉트로룩스 WELL Q7 WQ71-2ESSF,핸디스틱청소기 / 무선형 / 흡입전용 / [구성] 바닥 / 솔형 / 더스팅 / 긴틈새 / 거치대 / [배터리] 내장형 / 충전시간: 4시간30분 / 사용시간: 50분 / [성능] 5단계여과 / [기능] 셀프스탠딩 / LED라이트 / 배터리잔량표시 / [부가] 먼지통용량: 0.3L / 색상: 소프트샌드 / 무게: 2.8kg / 크기(가로x세로x깊이): 386x692x146mm,281300
샤오미 LYDSTO 차량용 무선 청소기 H3 (해외구매),차량용청소기 / 무선 / 최대출력: 120W,47170
DIBEA TSX-25000A,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 25000Pa / [구성] 바닥 / 침구 / 솔형 / 틈새 / 연장툴 / 거치대 / [배터리] 충전시간: 2시간 / 사용시간: 45분 / [성능] BLDC모터 / 헤파필터 / LED라이트 / [부가] 먼지통용량: 0.5L / 색상: 블랙 / 무게: 1.35kg / 크기(가로x세로x깊이): 256x1172x217xmm,179000
신일전자 롤링스턴 SDC-EQ900,물걸레청소기 / 회전식 / 물걸레전용 / 무선형 / [배터리] 리튬이온 / 충전시간: 3시간 / 사용시간: 30분 / [기능] LED라이트 / [부가] 색상: 화이트 / 무게: 3.1kg / 패드: 극세사(벨크로형)  / 크기(가로x세로x깊이): 420x1250x190mm,105290
기펠 ZET-10,핸디스틱청소기 / 무선형 / 흡입전용 / [구성] 바닥 / 솔형 / 틈새 / 거치대 / [성능] BLDC모터 / LED라이트 / [부가] 색상: 실버 / 무게: 2.5kg / 크기(가로x세로x깊이): 250x1045x240mm,276660
델루체 DLBC-P335NK,"욕실청소기 / 무선형 / 방수등급(IPX6등급) / 브러쉬: 일반, 평면, 모서리, 스펀지, 수세미, 극세사",36900
삼성전자 제트 VS15R8543Q4CW,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 150W / [구성] 바닥 / 솔형 / 틈새 / 연장툴 / 거치대 / 청정스테이션 / [배터리] 분리형 (1개) / 충전시간: 3시간30분 / 사용시간: 40분 / [성능] 인버터모터 / 헤파필터 / 5단계여과 / [기능] 디스플레이표시창 / 프리볼트 / [부가] 먼지통용량: 0.5L / 색상: 틸바이올렛 / 무게: 2.64kg / 크기(가로x세로x깊이): 250x1123x215mm,399000
휴대용 청소기 트리플블랙 Z5,"차량용청소기 / 무선 / 흡입력: 5,000Pa / 추가노즐: 틈새, 솔브러쉬, 연장호스 / 사용시간: 15분 / 색상: 블랙, 화이트, 핑크 / 크기: 335x110x120mm / 무게: 780g",52680
야토 12VYT-81WCARFS,업소용청소기 / 고압세척기 / 무선형 / [부가] 물통용량: 25L / 색상: 옐로우 / 크기(가로x세로): 360x280mm,59300
신일전자 SVC-8858PNX,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 17000Pa / [구성] 바닥 / 침구 / 펫 / 솔형 / 틈새 / 거치대 / [배터리] 분리형 (1개) / 충전시간: 5시간 / 사용시간: 30분 / [성능] BLDC모터 / 헤파필터 / 4단계여과 / [기능] LED라이트 / 배터리잔량표시 / 프리볼트 / [부가] 먼지통용량: 0.5L / 색상: 화이트 / 무게: 2kg / 크기(가로x세로x깊이): 274x1150x250mm,189000
아이소라 무선 미니 청소기 ISH1,"차량용청소기 / 무선 / 흡입력: 4,500Pa / 최대출력: 40W / 헤파필터 / 추가노즐: 틈새, 솔브러쉬 / 사용시간: 25분 / 충전방식: USB C타입 / 배터리용량: 3,000mAh / 색상: 블랙, 화이트 / 크기: 258x57x57mm / 무게: 330g",29800
신일전자 SDC-CO3074HP,물걸레청소기 / 회전식 / 물걸레전용 / 무선형 / [배터리] 충전시간: 6시간 / 사용시간: 40분 / [기능] 물분사 / LED라이트 / 각도조절 / 풋터치버튼 / 배터리잔량표시 / [부가] 물통용량: 0.12L / 무게: 2.2kg / 패드: 극세사(벨크로형) / 크기(가로x세로x깊이): 335x1160x200mm,69510
보랄 텀블러 무선 차량용 청소기,"차량용청소기 / 무선 / 흡입력: 5,000Pa / 최대출력: 60W / 2중필터 / 헤파필터 / 추가노즐: 틈새, 솔브러쉬 / 사용시간: 12분 / 충전시간: 4시간 / 색상: 블랙, 화이트 / 크기: 340x65x85mm / 무게: 656g",93590
샤오미 이지에 YE-01,핸디스틱청소기 / 무선형 / 흡입전용 / [배터리] 충전시간: 2~3시간 / 사용시간: 2시간 / [기능] 배터리잔량표시 / [부가] 먼지통용량: 0.35L / 크기(가로x세로x깊이): 270x1060x170mm,26510
BSW BS-14048-VC,핸디청소기 / 무선형 / 흡입전용 / [구성] 거치대 / [배터리] [부가] 색상: 실버+블랙 / 크기(가로x세로x깊이): 415x90x99mm,39900
쿠쿠전자 인스퓨어 파워클론 CVC-AME1410UG,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 140AW / 흡입력: 23000Pa / [구성] 바닥 / 물걸레 / 침구 / 솔형 / 틈새 / 연장툴 / 거치대 / [배터리] 분리형 (1개) / 사용시간: 35분 / [성능] BLDC모터 / 헤파필터 / 5단계여과 / [기능] 먼지감지센서 / 배터리잔량표시 / [부가] 색상: 어반그레이 / 무게: 3.1kg / 크기(가로x세로x깊이): 250x1200x230mm,504990
스위스밀리터리 더 화이트 SMA-VM3000,"물걸레청소기 / 롤러식 / 물걸레+진공 / 무선형 / [배터리] 충전시간: 4시간 / 사용시간: 28분 / [기능] 각도조절 / 셀프스탠딩 / 배터리잔량표시 / 걸레자동세척 / [부가] 물통용량: 정수: 0.6L, 오수: 0.55L / 크기(가로x세로x깊이): 285x1060x240mm",269000
베이스어스 차량용 캡슐 무선 진공 청소기,"차량용청소기 / 무선 / 흡입력: 4,000Pa / 최대출력: 65W / 3중필터 / 스테인리스 필터 / 추가노즐: 틈새, 솔브러쉬 / 크기: 65x232mm / 색상: 블랙, 실버",47490
에어로코리아 솔러스에어 AIR651V,"핸디스틱청소기 / 무선형 / 흡입전용 / [구성] 바닥 / 틈새 / 연장툴 / 거치대 / [배터리] 충전시간: 5시간 / 사용시간: 15분 / [성능] DC모터 / LED라이트 / [부가] 색상: 화이트, 블랙 / 무게: 0.8kg / 크기(가로x세로x깊이): 90x430x75mm",69000
다이슨 V8 앱솔루트,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 155AW / [구성] 소프트롤러 / 다이렉트드라이브 / 미니모터 / 솔형 / 더스팅 / 스터번더트 / 틈새 / 매트리스 / 연장툴 / 도킹스테이션 / [배터리] 충전시간: 5시간 / 사용시간: 40분 / [부가] 무게: 2.58kg / 크기(가로x세로x깊이): 250x1244x224mm,702140
혼시티 W7B8F63,"욕실청소기 / 무선형 / [배터리] 사용시간: 1시간 / [부가] 색상: 화이트 / 무게: 1.46kg / 방수 / 브러쉬: 평면, 돔형, 코너 / 크기(가로x세로x깊이): 130x1110x60mm",29100
워크래프트 차량용 청소기 세트 CPVC-S20Li,"차량용청소기 / 무선 / 추가노즐: 틈새, 솔브러쉬, 연장호스 / 사용시간: 35분 / 크기: 1,000x80x150mm / 무게: 3,200g",229340
모온 오비큠 (2022년형),핸디스틱청소기 / 무선형 / 흡입전용 / [구성] 바닥 / 솔형 / 틈새 / 거치대 / [배터리] 내장형 / 충전시간: 3시간 / 사용시간: 1시간 / [성능] BLDC모터 / 헤파필터 / [부가] 먼지통용량: 0.55L / 색상: 밀키화이트 / 무게: 0.8kg / 크기(가로x세로x깊이): 265x1055x200mm,290030
카처 VC4I 코드리스 PLUS,핸디스틱청소기 / 무선형 / 흡입전용 / [구성] 바닥 / 솔형 / 틈새 / [배터리] 사용시간: 30분 / 헤파필터 / [부가] 색상: 블랙+옐로우 / 무게: 1.85kg,319990
한경희생활과학 AKS-3000,스팀청소기 / 스틱형 / 스팀전용 / 무선형 / [기능] 고온살균 / 셀프스탠딩 / 각도조절 / 가열시간: 3분 / [부가] 물통용량: 0.33L / 크기(가로x세로x깊이): 310x1160x190mm,237930
휴스톰 무선 싸이클론 HV-5000,핸디스틱청소기 / 무선형 / 흡입전용 / [구성] 바닥 / 솔형 / 틈새 / 연장툴 / 거치대 / [배터리] 충전시간: 5시간 / 사용시간: 20분 / [성능] BLDC모터 / 헤파필터 / 3단계여과 / [기능] 배터리잔량표시 / 프리볼트 / [부가] 무게: 2.6kg / 크기(가로x세로x깊이): 255x1120x230mm,138880
휴스톰 듀얼라이팅 HS-9100,물걸레청소기 / 회전식 / 물걸레전용 / 무선형 / [배터리] 리튬이온 (분리형) / 충전시간: 4시간 / 사용시간: 30분 / [기능] LED라이트 / 가구손상방지 / 각도조절 / 셀프스탠딩 / [부가] 색상: 화이트 / 무게: 3.6kg / 패드: 극세사(벨크로형) / 크기(가로x세로x깊이): 410x1180x205mm,145330
가이타이너 크라센 GTLVC-1000,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 17000Pa / [구성] 바닥 / 솔형 / 틈새 / 연장툴 / 거치대 / [배터리] 분리형 (1개) / 충전시간: 4~5시간 / 사용시간: 40분 / [성능] BLDC모터 / 헤파필터 / [기능] 셀프스탠딩 / LED라이트 / 크기(가로x세로x깊이): 255x1140x180mm,68900
DIBEA DW200,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 10000Pa / [구성] 바닥 / 솔형 / 틈새 / 연장툴 / [배터리] 충전시간: 4~5시간 / 사용시간: 35분 / [성능] 4단계여과 / [부가] 먼지통용량: 0.5L / 색상: 화이트 / 무게: 2kg / 크기(가로x세로x깊이): 210x1040x104mm,79450
유니프로 핸디 무선 청소기 UC-10,"차량용청소기 / 무선 / 흡입력: 5,000Pa / 헤파필터 / 추가노즐: 틈새, 솔브러쉬 / LED라이트 / 사용시간: 15분 / 충전시간: 3~5시간 / 배터리용량: 3,000mAh / 크기: 55x166mm / 무게: 324g",33820
리큅 차량용 LED 무선 청소기 LCL-WC6000,"차량용청소기 / 무선 / 흡입력: 6,000Pa / 헤파필터 / LED라이트 / 최대 4시간 대용량 배터리 / 무게: 370g / 배터리: 4,000mAh / C타입 충전 / 색상: 블랙, 화이트",35900
LG전자 코드제로 A9S AS9370IKT,핸디스틱청소기 / 무선형 / 흡입+물걸레겸용 / 흡입력: 200W / [구성] 바닥 / 물걸레 / 솔형 / 틈새 / 올인원타워 / [배터리] 분리형 (1개) / 충전시간: 4시간 / 사용시간: 1시간 / [성능] 스마트인버터모터 / 헤파필터 / 5단계여과 / [기능] IoT기능 / 자동물공급 / 배터리잔량표시 / 자동먼지비움 / [부가] 색상: 아이언그레이+딥그레이 / 무게: 2.6kg / 크기(가로x세로x깊이): 250x1120x260mm,930000
모리츠 MO-BCL900,"욕실청소기 / 무선형 / [배터리] 충전시간: 3시간 / 사용시간: 30분 / [기능] 프리볼트 / [부가] 색상: 그레이 / 방수 / 브러쉬: 모서리, 일반, 평면, 스폰지, 극세사, 수세미",45680
UDT UD-750,업소용청소기 / 건식 / 무선형 / [기능] 이동바퀴 / [부가] 탱크용량: 50L / 무동력 / 크기(가로x세로x깊이): 750x1170x1120mm,176790
테팔 에어포스360 TY9079,핸디스틱청소기 / 무선형 / 흡입전용 / [구성] 바닥 / 미니모터 / 틈새 / 패브릭 / 거치대 / [배터리] 충전시간: 3시간 / 사용시간: 20분 / [성능] BLDC모터 / 5단계여과 / [기능] LED라이트 / 배터리잔량표시 / [부가] 무게: 2.8kg / 크기(가로x세로x깊이): 250x1145x260mm,373770
아이룸 AST-009 메가,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 14000Pa / [구성] 바닥 / 솔형 / 틈새 / 연장툴 / 거치대 / [배터리] 내장형 / 충전시간: 4시간 / 사용시간: 40분 / [성능] 헤파필터 / 5단계여과 / [기능] 물걸레(별도구매) / 셀프스탠딩 / LED라이트 / 배터리잔량표시 / [부가] 먼지통용량: 0.8L / 무게: 2.8kg,124160
삼성전자 비스포크 슬림 VS15A680AEW + AX060B510ESD,스틱청소기+공기청정기세트 / 무선형 / 흡입전용 / 흡입력: 150W / [구성] 바닥 / 틈새 / [배터리] 내장형 / 충전시간: 4시간 / 사용시간: 50분 / [성능] 디지털인버터모터 / 5단계여과 / [기능] 물걸레(별도구매) / IoT기능 / 셀프스탠딩 / LED라이트 / [부가] 먼지통용량: 0.3L / 색상: 미스티화이트 / 무게: 2.6kg / 크기(가로x세로x깊이): 250x1143x194mm / [AX060B510ESD] 공기청정기 / 크기(가로x세로x깊이): 360x783x318mm / ※ 상품 옵션 확인 후 구매,552650
화웨이 차량용 청소기 (해외구매),"차량용청소기 / 무선 / 흡입력: 13,000Pa / 헤파필터 / 배터리 : 4,000mAh",32700
DIBEA AUTO17000,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 17000Pa / [구성] 바닥 / [성능] BLDC모터 / 헤파필터 / [부가] 색상: 블랙 / 무게: 0.5kg,108000
앱코 오엘라 VC02,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 21000Pa / [구성] 바닥 / 솔형 / 더스팅 / 틈새 / 거치대 / [배터리] 분리형 (1개) / 충전시간: 4.5시간 / 사용시간: 35분 / [성능] BLDC모터 / LED라이트 / [부가] 먼지통용량: 0.8L / 색상: 블루 / 무게: 2.8kg / 크기(가로x세로x깊이): 285x1060x135mm,108880
샤오미 VIOMI A9 V-HWVC12A,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 120AW / 흡입력: 23000Pa / [구성] 바닥 / 침구 / 솔형 / 틈새 / 연장툴 / 거치대 / [배터리] 분리형 (1개) / 사용시간: 1시간 / [성능] DC모터 / 헤파필터 / 5단계여과 / [기능] LED라이트 / 배터리잔량표시 / 프리볼트 / [부가] 먼지통용량: 0.4L / 색상: 블랙 / 무게: 1.54kg / 크기(가로x세로x깊이): 250x1250x235mm,248490
미오룸 2in1 에어건 청소기 CD-01,"차량용청소기 / 무선 / 흡입력: 10,000Pa / 헤파필터 / 추가노즐: 틈새, 솔브러쉬 / 사용시간: 20~45분 / 충전시간: 3~4시간 / 충전방식: USB C타입 / 배터리용량: 6,000mAh / 크기: 225x58mm / 무게: 400g",65900
DIBEA D18,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 9000Pa / [구성] 바닥 / 솔형 / 틈새 / 연장툴 / 거치대 / [배터리] 분리형 (1개) / 충전시간: 4~5시간 / 사용시간: 45분 / [성능] 헤파필터 / 3단계여과 / [기능] LED라이트 / 배터리잔량표시 / 프리볼트 / [부가] 먼지통용량: 0.55L / 무게: 2.2kg / 크기(가로x세로x깊이): 240x1040x210mm,116100
삼성전자 제트 VS15R8543Q4,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 150W / [구성] 바닥 / 솔형 / 틈새 / 연장툴 / 거치대 / [배터리] 분리형 (1개) / 충전시간: 3시간30분 / 사용시간: 40분 / [성능] 인버터모터 / 헤파필터 / 5단계여과 / [기능] 디스플레이표시창 / 프리볼트 / [부가] 먼지통용량: 0.5L / 색상: 틸바이올렛 / 무게: 2.64kg / 크기(가로x세로x깊이): 250x1123x215mm,475000
블랙앤데커 DVC320B24,핸디청소기 / 무선형 / 흡입전용 / 흡입력: 35AW / [구성] 솔형 / 틈새 / 거치대 / [배터리] 충전시간: 4시간 / 사용시간: 25분 / [성능] BLDC모터 / [기능] 프리볼트 / [부가] 먼지통용량: 0.12L / 색상: 로즈골드 / 무게: 1.25kg,103290
쿠쿠전자 인스퓨어 파워클론 CVC-A1410UG,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 140AW / 흡입력: 23000Pa / [구성] 바닥 / 침구 / 솔형 / 틈새 / 연장툴 / 거치대 / [배터리] 분리형 (1개) / 사용시간: 35분 / [성능] BLDC모터 / 헤파필터 / 5단계여과 / [기능] 먼지감지센서 / 배터리잔량표시 / [부가] 색상: 어반그레이 / 무게: 1.82kg / 크기(가로x세로x깊이): 250x1200x230mm,335600
샤오미 미지아 MJCMY01DY,"침구청소기 / 핸디형 / 무선형 / 충전시간: 3.5시간 / 사용시간: 8~28분 / [기능] 청소모드: 온풍, UV살균, 진동, 흡입 / 진동수: 12800회(분당) / 흡입력: 16000Pa / 헤파필터 / 4단계여과 / [부가] 색상: 화이트 / 크기(가로x세로): 248x225mm",101370
블랙앤데커 더스트버스터 HHVK320J10,핸디청소기 / 무선형 / 흡입전용 / [배터리] 충전시간: 5시간 / [부가] 먼지통용량: 0.75L / 색상: 화이트 / 무게: 1.08kg,108250
쿠팡 홈플래닛 858B-DC,핸디스틱청소기 / 무선형 / 흡입전용 / 흡입력: 7000Pa / [구성] 바닥 / 솔형 / 틈새 / 연장툴 / [배터리] 내장형 / 사용시간: 30분 / [성능] 2단계여과 / [기능] 배터리잔량표시 / [부가] 색상: 화이트 / 무게: 1.15kg / 크기(가로x세로x깊이): 220x1200x90mm,42990
블랙앤데커 EPV1020BKA,핸디청소기 / 무선형 / 흡입전용 / 흡입력: 20AW / [구성] 틈새 / [배터리] 충전시간: 4시간 / 사용시간: 11분 / [기능] 프리볼트 / [부가] 먼지통용량: 0.44L / 색상: 블랙 / 무게: 1.28kg / 피벗노즐,69690
나리온 차량용 미니 무선 에어건,"차량용청소기 / 무선 / 최대출력: 68W / 추가노즐: 틈새, 솔브러쉬 / LED라이트 / 사용시간: 20~30분 / 소음: 90dB / 충전방식: USB C타입 / 충전시간: 3.5~4.5시간 / 배터리용량: 6,000mAh / 크기: 160x65mm / 무게: 375g",49000
